NUMBER	ENGLISH	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN	CONCEPTICON_ID	CONCEPTICON_GLOSS
2658	sister-in-law	sister-in-law			N/a	2317	SISTER-IN-LAW
2659	sixth	sixth	ordinal form of the number six		N/a		
2660	sizing tool	sizing tool			Artifacts		
2661	skeleton	skeleton			N/a	2668	SKELETON
2662	skilful, dexterous	skilful, dexterous			Non-physical	1824	DEXTEROUS
2663	skill	skill			Abstract entities		
2664	skilled artisan	skilled artisan			N/a		
2665	skin (of a person)	skin (of a person)			Body parts	2613	SKIN (HUMAN)
2666	skin (of an animal)	skin (of an animal)			Body parts	2614	SKIN (ANIMAL)
2667	skirt	skirt			Artifacts	1600	SKIRT
2668	skull	skull			Body parts	1605	SKULL
2669	skull	skull			Body parts	1605	SKULL
2670	skunk	skunk	any of various small mammals, of the family Mephitidae, native to North and Central America, having a glossy black with a white coat and two musk glands at the base of the tail for emitting a noxious smell as a defensive measure		N/a	3888	SKUNK
2671	sky	sky			Natural objects	1732	SKY
2672	slag, scoria	slag, scoria			N/a		
2673	slander	slander			Abstract entities		
2674	slattern	slattern			Human being		
2675	slaughter	slaughter	killing of animals for meat		N/a	1796	SLAUGHTER
2676	slave	slave			Human being	812	SLAVE
2677	sleeping	sleeping			N/a	1585	SLEEP
2678	sleeve	sleeve	part of a garment covering the arm		Artifacts	2953	SLEEVE
2679	sleigh	sleigh			N/a	16	SLED
2680	sling (weapon)	sling (weapon)	instrument for throwing stones or other missiles, consisting of a short strap with two strings fastened to its ends, or with a string fastened to one end and a light stick to the other		N/a	387	SLING
2681	slingshot	slingshot	Y-shaped stick with an elastic sling between the arms used for shooting small projectiles		N/a		
2682	slippery	slippery	of a surface, having low friction, often due to being covered in a non-viscous liquid, and therefore hard to grip, hard to stand on without falling, etc.		N/a	3702	SLIPPERY
2683	slippery jack (Suillus luteus)	slippery jack (Suillus luteus)			N/a		
2684	sloth (South American mammal)	sloth (South American mammal)			N/a	2446	SLOTH
2685	slow (adj.)	slow (adj.)			Other physical	701	SLOW
2686	slug	slug	terrestrial pulmonate gastropod mollusks, having no (or only a rudimentary) shell		N/a	1543	SNAIL
2687	small (amount)	small (amount)			N/a		
2688	small object	small object			Natural objects		
2689	small quantity of something	small quantity of something			Abstract entities		
2690	small tortoise-shell (Aglais urticae)	small tortoise-shell (Aglais urticae)			Animals		
2691	smallpox	smallpox			Human being	1054	SMALLPOX
2692	smart	smart			N/a	2530	SMART
2693	smell (n.)	smell (n.)	None		Abstract entities	3704	ODOR (SMELL)
2694	smell of cattle	smell of cattle	usually bad, smell of animals		N/a		
2695	smoke	smoke			Natural objects	778	SMOKE (EXHAUST)
2696	smoke hole in a tent-like home	smoke hole in a tent-like home			N/a		
2697	smooth	smooth			Tactile quality	1234	SMOOTH
2698	smooth snake	smooth snake	Coronella austriaca, is a species of non-venomous snake		N/a		
2699	smut (plant disease)	smut (plant disease)			Plants		
2700	snail	snail			Animals	1543	SNAIL
2701	snake	snake			Animals	730	SNAKE
2702	snipe (Gallinago)	snipe (Gallinago)			Animals		
2703	snot	snot			Natural objects	208	NASAL MUCUS (SNOT)
2704	snout	snout			N/a	2200	SNOUT
2705	snow	snow			Natural objects	784	SNOW
2706	snow bunting	snow bunting	bird Plectrophenax nivalis		N/a		
2707	snow-crust	snow-crust			N/a		
2708	snowball tree, guelder-rose, viburnum	snowball tree, guelder-rose, viburnum			Plants		
2709	snub-nosed	snub-nosed			N/a		
2710	snuff (tobacco)	snuff (tobacco)			N/a		
2711	soaked in sauce	soaked in sauce			N/a		
2712	sober	sober			Other physical	69	SOBER
2713	socialist or communist	socialist or communist			N/a		
2714	sock	sock	knitted or woven covering for the foot		N/a	1522	SOCK
2715	sod (stratum of soil)	sod (stratum of soil)			N/a		
2716	soft (adj.)	soft (adj.)			Tactile quality	1856	SOFT
2717	soldering iron	soldering iron	hand-held tool with a heated tip, used to melt and apply solder		N/a		
2718	soldier	soldier			Human being	1941	SOLDIER
2719	soldier	soldier			Human being	1941	SOLDIER
2720	soldier (plan, Stratiotes)	soldier (plan, Stratiotes)			Plants		
2721	soldier who is approaching demobilization	soldier who is approaching demobilization			N/a		
2722	sole (of shoe)	sole (of shoe)	bottom part of the shoe		Artifacts		
2723	sole, unique	sole, unique			Non-physical		
2724	solid crust on snow	solid crust on snow	solid crust formed on snow after thawing and refreezing		N/a		
2725	solid, entire, continuous	solid, entire, continuous			N/a	3003	SOLID
2726	some	some			N/a	1241	SOME
2727	something bad	something bad			Natural objects		
2728	son	son			Human being	1620	SON
2729	son-in-law	son-in-law			N/a	1056	SON-IN-LAW
2730	song	song			N/a	1096	SONG
2731	sonorous	sonorous			N/a		
2732	soon	soon	of an event that occurs after a short period of time		Time	703	SOON
2733	sooner	sooner			N/a		
2734	soot	soot			Natural objects	830	SOOT
2735	sorghum	sorghum	grass species Sorghum bicolor cultivated for its grain		N/a	347	SORGHUM
2736	sorrel	sorrel	plant (Rumex acetosa)		N/a		
2737	soul	soul			Abstract entities	811	SOUL
2738	sound	sound			Abstract entities	2879	SOUND (OF INSTRUMENT OR VOICE)
2739	sound of a kiss	sound of a kiss			N/a		
2740	sour	sour			Taste	1906	SOUR
2741	source (of a river)	source (of a river)			N/a	849	SPRING (OF WATER)
2742	sourdough	sourdough	type of bread dough leavened with yeast and lactobacilli that produce acids giving a sour taste		N/a		
2743	soured milk	soured milk			N/a		
2744	South	South	None		Space	1595	SOUTH
2745	space	space			N/a	3006	SPACE (AVAILABLE)
2746	spacious	spacious			N/a	2531	BROAD
2747	spade, shovel	spade, shovel			Artifacts	1176	SPADE
2748	spades (in cards)	spades (in cards)			Abstract entities		
2749	spark	spark			Natural objects	518	SPARK
2750	spark plug	spark plug			N/a		
2751	sparkling wine	sparkling wine	wine that is effervescent because of dissolved carbon dioxide; either because of fermentation in bottle or by physical carbonation		N/a		
2752	sparrow	sparrow			N/a	1854	SPARROW
2753	sparse	sparse			Other physical	207	SPARSE
2754	spawn, roe	spawn, roe			N/a		
2755	spawning	spawning			N/a		
2756	spear	spear			Artifacts	945	SPEAR
2757	spectacles	spectacles			Artifacts	1898	SPECTACLES
2758	speech	speech			Abstract entities	1115	SPEECH
2759	speed, velocity	speed, velocity			N/a		
2760	sperm	sperm			Natural objects	1505	SPERM
2761	sphere; ball	sphere; ball			Natural objects	1845	BALL
2762	spice	spice	aromatic or pungent plant matter (usually dried) used to flavour food		N/a		
2763	spicy	spicy			Taste	544	SPICY
2764	spider	spider			Animals	843	SPIDER
2765	spider web	spider web			N/a	1065	SPIDER WEB
2766	spinach (Spinacia)	spinach (Spinacia)			N/a	975	SPINACH
2767	spinal cord	spinal cord	a thick, whitish cord of nerve tissue which is a major part of the vertebrate central nervous system. It extends from the brain stem down through the spine, with nerves branching off to various parts of the body		N/a		
2768	spindle	spindle			Artifacts	277	SPINDLE
2769	spindle (Euonymus)	spindle (Euonymus)			Plants		
2770	spine, backbone	spine, backbone	series of bones situated at the back from the head to the pelvis of a human, or from the head to the tail of an animal, enclosing the spinal cord and providing support for the thorax and abdomen		N/a	805	SPINE
2771	spineless person	spineless person			N/a		
2772	spiral	spiral			N/a		
2773	spirit (supernatural being)	spirit (supernatural being)	None		Abstract entities	53	SPIRIT
2774	spit, saliva	spit, saliva			N/a	1503	SALIVA
2775	spleen (anat.)	spleen (anat.)			Body parts	1744	SPLEEN
2776	splinter (group of people)	splinter (group of people)	group that formed by splitting off from a larger membership		N/a		
2777	splinter (wood fragment)	splinter (wood fragment)	long, sharp fragment of material, often wood.		N/a	124	THORN
2778	split (gymnastics)	split (gymnastics)	the acrobatic feat of spreading the legs flat on the floor 180 degrees apart, either sideways to the body or with one leg in front and one behind, thus lowering the torso completely to the floor in an upright position		N/a		
2779	spoke of wheel	spoke of wheel			Artifacts	182	SPOKE
2780	sponge	sponge	any of various aquatic invertebrates of the phylum Porifera, that have a porous skeleton often of silica		Animals		
2781	spool	spool			N/a		
2782	spoon	spoon			Artifacts	1378	SPOON
2783	spot of reflected light	spot of reflected light	moving light spot reflected from a moving glass or mirror		Natural objects		
2784	spot, pip (on playing cards or dice)	spot, pip (on playing cards or dice)			Abstract entities		
2785	spot, stain	spot, stain			Natural objects	519	SPOT
2786	spotted	spotted			N/a		
2787	spout of vessel	spout of vessel			N/a		
2788	spring (mechanical device)	spring (mechanical device)	mechanical device made of flexible or coiled material that exerts force and attempts to spring back when bent, compressed, or stretched		N/a		
2789	spring (season)	spring (season)			Time	1537	SPRINGTIME
2790	spring ice drift	spring ice drift			N/a		
2791	spring, fountain	spring, fountain			Natural objects	849	SPRING (OF WATER)
2792	sprout	sprout	new growth on a plant, whether from seed or other parts		N/a	3358	SPROUT (SHOOT)
2793	spruce (Picea)	spruce (Picea)			Plants	545	SPRUCE
2794	spur (for horse)	spur (for horse)	rigid implement, often roughly y-shaped, that is fixed to one&#39;s heel for the purpose of prodding a horse		N/a		
2795	spur of mountain	spur of mountain			N/a		
2796	spurge (Euphorbia)	spurge (Euphorbia)			Plants		
2797	spy	spy			N/a		
2798	square (geometrical)	square (geometrical)			N/a	850	SQUARE
2799	square (in a town)	square (in a town)	None		Space		
2800	squid	squid	any of several carnivorous marine cephalopod mollusks, of the order Teuthida, having a mantle, eight arms, and a pair of tentacles		N/a		
2801	squint-eyed	squint-eyed			Other physical	87	SQUINT-EYED
2802	squirrel (Sciurus)	squirrel (Sciurus)			Animals	1628	SQUIRREL
2803	St. Andrew	St. Andrew	Andrew the Apostle, an apostle of Jesus according to the New Testament		N/a		
2804	stable	stable			N/a	851	STABLE
2805	stage, phase	stage, phase			Abstract entities		
2806	stairs, ladder	stairs, ladder	None		Artifacts	2689	LADDER OR STAIRS
2807	stale	stale	not fresh		N/a		
2808	stallion	stallion			N/a	936	STALLION
2809	stamen	stamen			N/a		
2810	stammerer	stammerer			Human being		
2811	standart-bearer	standart-bearer			N/a		
2812	star	star			Natural objects	1430	STAR
2813	starfish	starfish	echinoderms (not in fact fish) with usually five arms, many of which eat bivalves or corals by everting their stomach		N/a	3032	STARFISH
2814	state (sovereign polity)	state (sovereign polity)			N/a	2955	STATE (POLITICS)
2815	state, situation	state, situation	None		N/a		
2816	steam, vapour	steam, vapour			N/a	1193	STEAM
2817	steel	steel			N/a	2343	STEEL
2818	steep	steep			Other physical	2717	STEEP
2819	stem (of a plant)	stem (of a plant)			Plants	2628	PLANT STEM
2820	stench	stench			Natural objects		
2821	step (of a staircase, step-ladder)	step (of a staircase, step-ladder)			Artifacts	1158	STEP
2822	step, pace	step, pace			Space		
2823	stepfather	stepfather			N/a	237	STEPFATHER
2824	stepmother	stepmother			N/a	236	STEPMOTHER
2825	steppe polecat (Mustela eversmanii)	steppe polecat (Mustela eversmanii)	a species of mustelid native to Central and Eastern Europe and Central Asia		N/a		
2826	steppe, plain	steppe, plain			Natural objects	652	PLAIN
2827	stepson	stepson			Human being	1059	STEPSON
2828	sterile	sterile			N/a		
2829	sterlet	sterlet	Acipenser ruthenus, relatively small species of sturgeon from Eurasia native to large rivers that flow into the Black Sea, Azov Sea, and Caspian Sea, as well as rivers in Siberia as far east as Yenisei		N/a		
2830	stern	stern	rear part or after end of a ship or vessel		N/a		
2831	sternum, breastbone	sternum, breastbone	long flat bone located in the central part of the chest. It connects to the ribs via cartilage and forms the front of the rib cage		N/a	2810	BREASTBONE
2832	stick (n.)	stick (n.)			Natural objects	1295	STICK
2833	sticky	sticky			N/a	3703	STICKY
2834	still (adv.)	still (adv.)	up to a time, as in the preceding time		N/a	2919	STILL (CONTINUING)
2835	sting (n.)	sting (n.)			N/a		
2836	stingray	stingray			N/a	1910	STINGRAY
2837	stingy	stingy	unwilling to spend or give		N/a	1774	STINGY
2838	stirrup	stirrup			Artifacts		
2839	stitch	stitch	single pass of a needle in sewing; the loop or turn of the thread thus made		N/a		
2840	stoker	stoker	person who stokes, especially one on a steamship or steam train, who stokes coal in the boilers		N/a		
2841	stolen	stolen			N/a		
2842	stomach	stomach			Body parts	819	STOMACH
2843	stone (material)	stone (material)	hard earthen substance that can form large rocks		N/a	857	STONE
2844	stone (of a fruit)	stone (of a fruit)			Natural objects	1762	STONE (OF FRUIT)
2845	stone (of a fruit)	stone (of a fruit)			Plants	1762	STONE (OF FRUIT)
2846	stone (piece of rock)	stone (piece of rock)	None		Natural objects	2125	STONE OR ROCK
2847	stone in a ring	stone in a ring			N/a		
2848	stone loach (Barbatula barbatula)	stone loach (Barbatula barbatula)			N/a		
2849	stop, stand (n.)	stop, stand (n.)			Abstract entities		
2850	stopper, plug	stopper, plug			Artifacts		
2851	storehouse; depo	storehouse; depo			Artifacts	3399	WAREHOUSE
2852	stork (Ciconia)	stork (Ciconia)			Animals	3724	STORK
2853	storm	storm			Natural objects	858	STORM
2854	stormy (of weather)	stormy (of weather)			Other physical		
2855	story	story			N/a	2060	STORY
2856	stove	stove			Artifacts	859	STOVE
2857	straight	straight			Other physical	1404	STRAIGHT
2858	strain (microbiology)	strain (microbiology)			N/a		
2859	strait	strait			Natural objects	1661	STRAIT
2860	strange	strange			Non-physical	600	STRANGE
2861	stranger, foreign	stranger, foreign			Interpersonal relations	791	STRANGER
2862	strangles (equine distemper)	strangles (equine distemper)	contagious upper respiratory tract infection of horses		N/a		
2863	straw	straw	dried stalk of a cereal plant		N/a	2299	STRAW
2864	strawberry (Fragaria moschata)	strawberry (Fragaria moschata)			Plants	3138	STRAWBERRY
